age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,sample_id,counterfactual_found
40.0,admin.,divorced,primary,yes,0.0,no,no,cellular,6.0,apr,683.404970986239,2.0,-1.0,0.0,failure,4,1
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,2243.5538836756245,2.0,-1.0,0.0,failure,4,1
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,15.402853131861576,apr,1507.419211887409,2.0,-1.0,0.0,failure,4,1
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,2510.0925950762007,2.0,-1.0,0.0,failure,4,1
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,2241.719561115452,2.0,-1.0,0.0,failure,4,1
40.0,admin.,married,primary,yes,0.0,no,no,telephone,6.0,apr,1489.8353047195428,2.0,-1.0,0.0,failure,4,1
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,1347.1214753591287,2.0,-1.0,0.0,failure,4,1
40.0,admin.,divorced,primary,yes,-402.0202895584582,no,no,telephone,6.0,apr,2243.9701409503086,2.0,-1.0,0.0,failure,4,1
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,2027.2045776352973,2.0,-1.0,0.0,failure,4,1
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,2664.6032369272953,2.0,-1.0,0.0,failure,4,1
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,1250.0140822791152,2.0,-1.0,0.0,failure,4,1
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,1029.6510978655658,2.0,-1.0,0.0,failure,4,1
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,1349.7746039490776,2.0,-1.0,0.0,failure,4,1
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,980.2359926154397,2.0,-1.0,0.0,failure,4,1
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,15.92508797164664,apr,1349.7746039490776,2.0,-1.0,0.0,failure,4,1
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,872.5763444603872,2.0,-1.0,0.0,failure,4,1
40.0,admin.,divorced,primary,yes,0.0,no,no,cellular,6.0,apr,1319.460582501782,2.0,-1.0,0.0,failure,4,1
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,1164.4622177142567,2.0,-1.0,0.0,failure,4,1
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,1059.2377804959729,2.0,-1.0,0.0,failure,4,1
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,2245.510283772664,2.0,-1.0,19.713574082697306,failure,4,1
