age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,sample_id
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
36.0,admin.,divorced,primary,no,0.0,no,no,telephone,20.0,apr,332.0,3.0,-1.0,0.0,failure,1
