age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,sample_id
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
55.0,admin.,divorced,primary,no,627.0,no,no,telephone,5.0,apr,247.0,0.9999999999999998,-1.0,0.0,failure,3
