age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,sample_id,counterfactual_found
29.0,admin.,married,primary,yes,-105.0,no,no,telephone,27.0,apr,2767.550784138359,3.0,-1.0,0.0,failure,7,1
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,2714.957872040746,3.0,-1.0,0.0,failure,7,1
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,2568.045530539443,3.0,-1.0,0.0,failure,7,1
29.0,admin.,married,primary,yes,-105.0,no,no,telephone,27.0,apr,1473.8613509321056,3.0,-1.0,0.0,failure,7,1
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,1409.7590817357802,3.0,-1.0,0.0,failure,7,1
70.11098913109214,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,2052.8919139598834,3.0,-1.0,0.0,failure,7,1
77.98388524199872,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,2138.138938048508,3.0,-1.0,0.0,failure,7,1
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,2647.638000756967,3.0,-1.0,0.0,failure,7,1
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,1990.4584361701732,3.0,-1.0,0.0,failure,7,1
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,1904.0833433048133,3.0,-1.0,0.0,failure,7,1
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,2138.138938048508,3.0,-1.0,0.0,failure,7,1
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,1873.1377478068541,3.0,843.0609556290468,0.0,failure,7,1
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,2385.291040775525,3.0,-1.0,0.0,failure,7,1
29.0,admin.,married,primary,no,-105.0,no,yes,telephone,27.0,apr,2568.045530539443,3.0,-1.0,0.0,failure,7,1
29.0,admin.,married,tertiary,no,-105.0,no,no,telephone,27.0,apr,1616.3368323721763,3.0,-1.0,0.0,failure,7,1
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,1031.7221781993815,3.0,-1.0,0.0,failure,7,1
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,2666.7582728496354,3.0,708.0224578681008,0.0,failure,7,1
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,2536.8735366059022,3.0,-1.0,0.0,failure,7,1
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,2103.8959758984706,3.0,-1.0,0.0,failure,7,1
29.0,admin.,married,primary,no,-105.0,no,no,telephone,27.0,apr,1177.3871795283187,22.459909550153156,-1.0,0.0,failure,7,1
