age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,sample_id
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
33.0,admin.,married,primary,no,2557.0,no,no,cellular,18.0,apr,186.0,0.9999999999999998,-1.0,0.0,failure,2
