age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,sample_id,counterfactual_found
36.0,admin.,divorced,secondary,no,1133.0,no,no,cellular,12.26949192433092,apr,293.0,0.9999999999999998,181.0,2.0,failure,6,1
36.0,admin.,divorced,secondary,no,1133.0,no,no,cellular,3.9999999999999982,apr,1557.1860461551937,0.9999999999999998,181.0,2.0,failure,6,1
36.0,admin.,divorced,secondary,no,1133.0,no,no,cellular,3.9999999999999982,apr,293.0,16.539606974548214,790.4819956015111,2.0,failure,6,1
81.77163658538214,admin.,divorced,secondary,no,1133.0,no,no,cellular,3.9999999999999982,apr,293.0,0.9999999999999998,181.0,2.0,failure,6,1
36.0,admin.,divorced,secondary,no,1133.0,no,no,cellular,14.199599604419785,apr,293.0,0.9999999999999998,181.0,2.0,failure,6,1
67.70234371800075,entrepreneur,divorced,secondary,no,1133.0,no,no,cellular,3.9999999999999982,apr,293.0,0.9999999999999998,181.0,2.0,failure,6,1
36.0,admin.,divorced,tertiary,no,1133.0,no,no,cellular,3.9999999999999982,apr,293.0,0.9999999999999998,181.0,2.0,failure,6,1
23.803788861168005,admin.,divorced,secondary,no,1133.0,no,no,cellular,3.9999999999999982,apr,293.0,0.9999999999999998,181.0,2.0,failure,6,1
62.80192037779534,admin.,divorced,secondary,no,1133.0,no,no,cellular,3.9999999999999982,apr,293.0,0.9999999999999998,181.0,2.0,failure,6,1
36.0,admin.,divorced,secondary,no,1133.0,no,no,cellular,7.7886241240188365,apr,293.0,0.9999999999999998,181.0,2.0,failure,6,1
36.0,admin.,divorced,secondary,no,1133.0,no,no,cellular,3.9999999999999982,apr,459.34623101007344,0.9999999999999998,181.0,2.0,failure,6,1
36.0,admin.,divorced,secondary,no,1133.0,no,no,cellular,21.60521292186645,apr,293.0,0.9999999999999998,181.0,2.0,failure,6,1
36.0,admin.,divorced,secondary,no,1133.0,no,no,cellular,3.9999999999999982,apr,1390.2704412472365,0.9999999999999998,181.0,2.0,failure,6,1
36.0,admin.,divorced,secondary,no,1133.0,no,no,cellular,3.9999999999999982,apr,933.383497114181,0.9999999999999998,181.0,2.0,failure,6,1
36.0,admin.,divorced,secondary,no,1133.0,no,no,cellular,12.415653288806713,apr,293.0,0.9999999999999998,181.0,2.0,failure,6,1
75.02875025137439,admin.,divorced,secondary,no,1133.0,no,no,cellular,3.9999999999999982,apr,633.1285726494054,0.9999999999999998,181.0,2.0,failure,6,1
36.0,admin.,divorced,secondary,no,1133.0,no,no,cellular,17.70932539771566,apr,293.0,0.9999999999999998,181.0,2.0,failure,6,1
36.0,admin.,divorced,secondary,no,1133.0,no,no,cellular,18.417837942286983,apr,293.0,0.9999999999999998,181.0,2.0,failure,6,1
36.0,admin.,divorced,secondary,no,1133.0,no,no,cellular,3.9999999999999982,apr,293.0,0.9999999999999998,806.8884912549368,2.0,failure,6,1
36.0,admin.,divorced,secondary,no,1133.0,no,no,cellular,3.9999999999999982,apr,293.0,0.9999999999999998,181.0,2.0,failure,6,1
