age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,sample_id
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
40.0,admin.,divorced,primary,yes,0.0,no,no,telephone,6.0,apr,64.0,2.0,-1.0,0.0,failure,4
