age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,sample_id
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
35.0,admin.,divorced,primary,no,8883.0,no,no,cellular,21.0,aug,33.0,3.0,-1.0,0.0,failure,0
